imdb_title_id;original_title;year;genre;duration;country;director;actors;avg_vote;votes;avg_vote_weighted;budget;worlwide_gross_income;reviews_from_users;reviews_from_critics
tt0010323;Das Cabinet des Dr. Caligari;1920;Fantasy, Horror, Mystery;76;Germany;Robert Wiene;Werner Krauss;8.1;55601;7.99;$ 18000;$ 8811;237;160
tt0012190;The Four Horsemen of the Apocalypse;1921;Drama, Romance, War;150;USA;Rex Ingram;Pomeroy Cannon;7.2;3058;6.61;$ 800000;$ 9183673;45;16
tt0014624;A Woman of Paris: A Drama of Fate;1923;Drama, Romance;82;USA;Charles Chaplin;Edna Purviance;7;4735;6.61;$ 351000;$ 11233;37;24
tt0015864;The Gold Rush;1925;Adventure, Comedy, Drama;95;USA;Charles Chaplin;Charles Chaplin;8.2;97480;8.13;$ 923000;$ 26916;190;125
tt0018455;Sunrise: A Song of Two Humans;1927;Drama, Romance;94;USA;F.W. Murnau;George O'Brien;8.1;46069;7.97;$ 200000;$ 121107;250;186
tt0018578;Wings;1927;Drama, Romance, War;144;USA;William A. Wellman;Clara Bow;7.5;11139;7.18;$ 2000000;$ 746;95;92
tt0021106;Madam Satan;1930;Comedy, Drama, Musical;116;USA;Cecil B. DeMille;Kay Johnson;6.5;838;6.11;$ 980000;$ 1005;43;19
tt0021749;City Lights;1931;Comedy, Drama, Romance;87;USA;Charles Chaplin;Virginia Cherrill;8.5;162668;8.45;$ 1500000;$ 46008;295;122
tt0021814;Dracula;1931;Drama, Fantasy, Horror;75;USA;Tod Browning;Bela Lugosi;7.5;45054;7.41;$ 355000;$ 85204;556;163
tt0022835;Dr. Jekyll and Mr. Hyde;1931;Horror, Sci-Fi;98;USA;Rouben Mamoulian;Fredric March;7.6;12225;7.28;$ 535000;$ 16615;127;62
tt0024034;42nd Street;1933;Comedy, Musical, Romance;89;USA;Lloyd Bacon;Warner Baxter;7.4;10490;7.09;$ 439000;$ 1600;124;74
tt0024216;King Kong;1933;Adventure, Horror, Sci-Fi;100;USA;Merian C. Cooper;Fay Wray;7.9;77507;7.83;$ 670000;$ 651;511;162
tt0025164;The Gay Divorcee;1934;Comedy, Musical, Romance;107;USA;Mark Sandrich;Fred Astaire;7.5;6797;7.04;$ 520000;$ 6750;61;42
tt0025746;The Scarlet Empress;1934;Drama, History, Romance;104;USA;Josef von Sternberg;Marlene Dietrich;7.6;5688;7.05;$ 900000;$ 3299;51;49
tt0026138;Bride of Frankenstein;1935;Drama, Horror, Sci-Fi;75;USA;James Whale;Boris Karloff;7.8;42196;7.68;$ 397024;$ 10493;281;120
tt0026942;Roberta;1935;Comedy, Musical, Romance;106;USA;William A. Seiter;Irene Dunne;7.1;2860;6.54;$ 610000;$ 2493;67;20
tt0027977;Modern Times;1936;Comedy, Drama, Family;87;USA;Charles Chaplin;Charles Chaplin;8.5;211250;8.46;$ 1500000;$ 457688;307;115
tt0028333;Swing Time;1936;Comedy, Musical, Romance;103;USA;George Stevens;Fred Astaire;7.6;11998;7.28;$ 886000;$ 4961;98;74
tt0029322;Nothing Sacred;1937;Comedy, Drama, Fantasy;77;USA;William A. Wellman;Carole Lombard;6.9;5841;6.59;$ 1831927;$ 3765;114;57
tt0029453;Pépé le Moko;1937;Crime, Drama, Romance;94;France;Julien Duvivier;Jean Gabin;7.7;6180;7.14;$ 60000;$ 155895;46;55
tt0029546;Shall We Dance;1937;Comedy, Musical, Romance;109;USA;Mark Sandrich;Fred Astaire;7.5;6414;7.02;$ 991000;$ 6662;60;23
tt0029583;Snow White and the Seven Dwarfs;1937;Animation, Family, Fantasy;83;USA;William Cottrell;Roy Atwell;7.6;177157;7.57;$ 1499000;$ 184925486;260;173
tt0029947;Bringing Up Baby;1938;Comedy, Family, Romance;102;USA;Howard Hawks;Katharine Hepburn;7.9;53931;7.80;$ 1073000;$ 11180;299;89
tt0031252;Drums Along the Mohawk;1939;Drama, History, Romance;104;USA;John Ford;Claudette Colbert;7.1;5542;6.71;$ 2000000;$ 10360;80;48
tt0031302;Fifth Avenue Girl;1939;Comedy, Romance;83;USA;Gregory La Cava;Ginger Rogers;6.8;1331;6.25;$ 607000;$ 9636;27;9
tt0031381;Gone with the Wind;1939;Drama, History, Romance;238;USA;Victor Fleming;Thomas Mitchell;8.1;283975;8.08;$ 3977000;$ 402352579;881;197
tt0031507;Jesse James;1939;Biography, Crime, Drama;106;USA;Henry King;Tyrone Power;7;3887;6.56;$ 1600000;$ 3444;54;30
tt0031679;Mr. Smith Goes to Washington;1939;Comedy, Drama;129;USA;Frank Capra;Jean Arthur;8.1;104547;8.04;$ 1900000;$ 144738;296;88
tt0032138;The Wizard of Oz;1939;Adventure, Family, Fantasy;102;USA;Victor Fleming;Judy Garland;8;366293;7.98;$ 2777000;$ 26142032;688;168
tt0032143;The Women;1939;Comedy, Drama;133;USA;George Cukor;Norma Shearer;7.8;12306;7.45;$ 1688000;$ 16161;223;70
tt0032455;Fantasia;1940;Animation, Family, Fantasy;125;USA;James Algar;Deems Taylor;7.8;86795;7.74;$ 2280000;$ 76411401;342;119
tt0032553;The Great Dictator;1940;Comedy, Drama, War;125;USA;Charles Chaplin;Charles Chaplin;8.4;197381;8.36;$ 2000000;$ 969879;267;141
tt0032762;The Mark of Zorro;1940;Action, Adventure, Romance;94;USA;Rouben Mamoulian;Tyrone Power;7.5;9067;7.13;$ 1000000;$ 3424;88;49
tt0032910;Pinocchio;1940;Animation, Comedy, Family;88;USA;Norman Ferguson;Mel Blanc;7.4;127618;7.37;$ 2600000;$ 121892045;202;140
tt0032976;Rebecca;1940;Drama, Mystery, Romance;130;USA;Alfred Hitchcock;Laurence Olivier;8.1;119307;8.05;$ 1288000;$ 72275;339;200
tt0033870;The Maltese Falcon;1941;Film-Noir, Mystery;100;USA;John Huston;Humphrey Bogart;8;146815;7.96;$ 375000;$ 1255;416;134
tt0034162;The Sea Wolf;1941;Adventure, Drama;100;USA;Michael Curtiz;Edward G. Robinson;7.5;3207;6.78;$ 1013217;$ 6192;52;28
tt0034167;Sergeant York;1941;Biography, Drama, History;134;USA;Howard Hawks;Gary Cooper;7.7;15009;7.42;$ 1400000;$ 16364924;115;42
tt0034240;Sullivan's Travels;1941;Adventure, Comedy, Drama;90;USA;Preston Sturges;Joel McCrea;7.9;23436;7.68;$ 689665;$ 10249;156;107
tt0034583;Casablanca;1942;Drama, Romance, War;102;USA;Michael Curtiz;Humphrey Bogart;8.5;509953;8.49;$ 950000;$ 4374761;1303;196
tt0034936;Keeper of the Flame;1942;Drama, Mystery;100;USA;George Cukor;Spencer Tracy;6.8;2213;6.34;$ 1172000;$ 15392;54;15
tt0035423;Kate & Leopold;2001;Comedy, Fantasy, Romance;118;USA;James Mangold;Meg Ryan;6.4;77852;6.39;$ 48000000;$ 76019048;341;115
tt0036775;Double Indemnity;1944;Crime, Drama, Film-Noir;107;USA;Billy Wilder;Fred MacMurray;8.3;139564;8.25;$ 927262;$ 13886;397;147
tt0036868;The Best Years of Our Lives;1946;Drama, Romance, War;170;USA;William Wyler;Myrna Loy;8;56280;7.90;$ 2100000;$ 23656620;288;125
tt0037059;Meet Me in St. Louis;1944;Comedy, Drama, Family;113;USA;Vincente Minnelli;Judy Garland;7.6;19887;7.39;$ 1700000;$ 485932;167;107
tt0037611;Conflict;1945;Drama, Film-Noir, Mystery;86;USA;Curtis Bernhardt;Humphrey Bogart;7.2;3195;6.62;$ 774000;$ 9635;53;21
tt0037913;Mildred Pierce;1945;Crime, Drama, Film-Noir;111;USA;Michael Curtiz;Joan Crawford;8;22055;7.76;$ 1453000;$ 10128;363;110
